playerid,Name,Projected WAR,Projected Years,Projected Total,Projected AAV,QO,Signing Team,Years,Total Salary,AAV
6902,Martín Pérez,,,0,,,TEX,1,"$4,000,000 ","$4,000,000 "
6984,Luis García,,,0,,,SDP,2,"$7,000,000 ","$3,500,000 "
6986,Ian Kennedy,,,0,,,ARI,1,"$4,750,000 ","$4,750,000 "
7146,Daniel Hudson,,,0,,,LAD,2,"$12,500,000 ","$7,000,000 "
7196,Greg Holland,,,0,,,TEX,1,"$150,000 ","$150,000 "
7410,J.A. Happ,,,0,,,,,,
7531,Collin McHugh,,,0,,,ATL,2,"$10,000,000 ","$5,000,000 "
7555,Nick Vincent,,,0,,,ATL,1,$0 ,
7593,Jordan Lyles,,,0,,,BAL,1,"$7,000,000 ","$7,000,000 "
7738,Wily Peralta,,,0,,,DET,1,"$2,376,374 ","$2,376,374 "
7754,Mike Fiers,,,0,,,,,,
7836,Hunter Strickland,,,0,,,CIN,1,"$1,825,000 ","$1,825,000 "
8110,Bryan Shaw,,,0,,,CLE,1,"$3,000,000 ","$3,000,000 "
8223,Brett Anderson,,,0,,,,,,
8241,David Robertson,,,0,,,CHC,1,"$3,500,000 ","$3,500,000 "
8350,AJ Ramos,,,0,,,LAA,1,$0 ,
8753,Tanner Roark,,,0,,,,,,
9111,Brad Hand,,,0,,,PHI,1,"$6,000,000 ","$6,000,000 "
9388,Josh Tomlin,,,0,,,,,,
9761,Joe Kelly,,,0,,,CHW,2,"$17,000,000 ","$8,500,000 "
9784,Garrett Richards,,,0,,,TEX,1,"$5,500,000 ","$5,500,000 "
9794,Rex Brothers,,,0,,,MIL,1,$0 ,
9817,Sergio Romo,,,0,,,SEA,1,"$2,000,000 ","$2,000,000 "
9866,Chaz Roe,,,0,,,,,,
9939,Brandon Kintzler,,,0,,,,,,
10061,Brooks Raley,,,0,,,TBR,3,"$15,250,000 ","$5,000,000 "
10066,Ian Krol,,,0,,,SDP,1,$0 ,
10133,Brad Boxberger,,,0,,,MIL,1,"$2,500,000 ","$2,500,000 "
10197,Shelby Miller,,,0,,,NYY,1,$0 ,
10291,Ryan Tepera,,,0,,,LAA,2,"$14,000,000 ","$7,000,000 "
10314,Erasmo Ramírez,,,0,,,WSN,1,$0 ,
10343,Aaron Loup,,,0,,,LAA,2,"$17,000,000 ","$8,500,000 "
10430,Mychal Givens,,,0,,,CHC,1,"$5,000,000 ","$5,000,000 "
10547,Jimmy Nelson,,,0,,,LAD,1,"$700,000 ","$700,000 "
10756,Shane Greene,,,0,,,LAD,1,$0 ,
10811,Mike Foltynewicz,,,0,,,,,,
10855,Chasen Shreve,,,0,,,NYM,1,"$1,500,000 ","$1,500,000 "
11189,Vince Velasquez,,,0,,,CHW,1,"$3,000,000 ","$3,000,000 "
11423,Jose Quintana,,,0,,,PIT,1,"$2,000,000 ","$2,000,000 "
11428,Brandon Workman,,,0,,,TEX,1,$0 ,
11486,Robbie Ray,,,0,,"$18,400,000 ",SEA,5,"$115,000,000 ","$23,000,000 "
11487,Joely Rodríguez,,,0,,,NYY,1,"$2,500,000 ","$2,500,000 "
11490,Aaron Sanchez,,,0,,,WSN,1,"$395,604 ","$395,604 "
11589,José Ureña,,,0,,,MIL,1,"$171,703 ","$171,703 "
11632,Heath Hembree,,,0,,,PIT,1,"$2,125,000 ","$2,125,000 "
11682,Carlos Martinez,,,0,,,SFG,1,$0 ,
11713,Matt Harvey,,,0,,,,,,
11760,Drew Smyly,,,0,,,CHC,1,"$5,250,000 ","$5,250,000 "
11762,Noah Syndergaard,,,0,,"$18,400,000 ",LAA,1,"$21,000,000 ","$21,000,000 "
11801,Hansel Robles,,,0,,,BOS,1,"$2,250,000 ","$2,250,000 "
11804,Héctor Neris,,,0,,,HOU,3,"$24,500,000 ","$8,166,667 "
11828,James Paxton,,,0,,,BOS,2,"$10,000,000 ","$5,800,000 "
11847,Chris Martin,,,0,,,CHC,1,"$2,500,000 ","$2,500,000 "
12095,Yimi García,,,0,,,TOR,3,"$16,000,000 ","$5,500,000 "
12237,Dan Winkler,,,0,,,TEX,1,$0 ,
12580,Adam Morgan,,,0,,,HOU,1,$0 ,
12680,Ryne Harper,,,0,,,,,,
12880,Tyler Anderson,,,0,,,LAD,1,"$8,000,000 ","$8,000,000 "
12890,Alex Claudio,,,0,,,NYM,1,$0 ,
12917,Dylan Bundy,,,0,,,MIN,1,"$5,000,000 ","$5,000,000 "
12918,Archie Bradley,,,0,,,LAA,1,"$3,750,000 ","$3,750,000 "
12988,Andrew Chafin,,,0,,,DET,2,"$13,000,000 ","$6,500,000 "
13050,Anthony DeSclafani,,,0,,,SFG,3,"$36,000,000 ","$12,000,000 "
13164,Eduardo Rodriguez,,,0,,"$18,400,000 ",DET,2,"$22,846,154 ","$8,846,154 "
13183,Zach Davies,,,0,,,ARI,1,"$1,750,000 ","$1,750,000 "
13287,Jesse Hahn,,,0,,,,,,
13293,Danny Coulombe,,,0,,,MIN,1,"$979,500 ","$979,500 "
13360,Cam Bedrosian,,,0,,,PHI,1,$0 ,
13361,Steven Matz,,,0,,,STL,4,"$44,000,000 ","$11,000,000 "
13431,Marcus Stroman,,,0,,,CHC,2,"$50,000,000 ","$23,666,667 "
13475,Daniel Norris,,,0,,,CHC,1,"$1,750,000 ","$1,750,000 "
13549,Richard Rodríguez,,,0,,,,,,
13607,Carl Edwards Jr.,,,0,,,WSN,1,"$1,000,000 ","$1,000,000 "
13619,Jakob Junis,,,0,,,SFG,1,"$1,750,000 ","$1,750,000 "
13696,Robert Gsellman,,,0,,,CHC,1,$0 ,
13781,Alex Wood,,,0,,,SFG,2,"$25,000,000 ","$12,500,000 "
13799,Matt Strahm,,,0,,,BOS,1,"$3,000,000 ","$3,000,000 "
14078,Michael Wacha,,,0,,,BOS,1,"$7,000,000 ","$7,000,000 "
14107,Kevin Gausman,,,0,,,TOR,5,"$110,000,000 ","$22,000,000 "
14672,Dillon Maples,,,0,,,PHI,1,$0 ,
14696,Keone Kela,,,0,,,ARI,1,$0 ,
14814,Buck Farmer,,,0,,,CIN,1,"$850,000 ","$850,000 "
14843,Michael Lorenzen,,,0,,,LAA,1,"$6,750,000 ","$6,750,000 "
14916,Jon Gray,,,0,,,TEX,4,"$56,000,000 ","$14,000,000 "
14975,Chad Kuhl,,,0,,,COL,1,"$3,000,000 ","$3,000,000 "
15010,Corey Knebel,,,0,,,PHI,1,"$10,000,000 ","$10,000,000 "
15068,Yency Almonte,,,0,,,LAD,1,$0 ,
15071,Kyle McGowin,,,0,,,,,,
15291,Steven Brault,,,0,,,CHC,1,$0 ,
15423,Andrew Heaney,,,0,,,LAD,1,"$8,500,000 ","$8,500,000 "
15440,Matthew Boyd,,,0,,,SFG,1,"$5,200,000 ","$5,200,000 "
15514,Kendall Graveman,,,0,,,CHW,3,"$24,000,000 ","$8,000,000 "
15594,Nick Wittgren,,,0,,,STL,1,"$1,200,000 ","$1,200,000 "
15855,Wander Suero,,,0,,,LAA,1,$0 ,
16137,Carlos Rodón,,,0,,,SFG,1,"$21,500,000 ","$22,000,000 "
16159,Jace Fry,,,0,,,WSN,1,$0 ,
17130,Raisel Iglesias,,,0,,"$18,400,000 ",LAA,4,"$58,000,000 ","$10,000,000 "
20633,Yusei Kikuchi,,,0,,,TOR,3,"$36,000,000 ","$12,000,000 "
