playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2024 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
2396,Carlos Santana,1B,S,R,MIN,39,14.115,3.019100904,1.481622934,1,7000000,7000000,,CLE,1,12000000,12000000
13419,Christian Walker,1B,R,R,ARI,34,6.124,3.007289886,3.142507315,3,54000000,18000000,21050000,HOU,3,60000000,20000000
19251,Pete Alonso,1B,R,R,NYM,30,6,2.09114337,2.41941762,5,125000000,25000000,21050000,,,,
9218,Paul Goldschmidt,1B,R,R,STL,37,13.059,1.114793181,1.877139449,1,14000000,14000000,0,NYY,1,12500000,12500000
19198,Yuli Gurriel,1B,R,R,KCR,41,7.073,-0.056267332,0.028477294,,0,,,,,,
13145,Josh Bell,1B,S,R,ARI,32,8.053,-0.148984775,0.740767896,1,8000000,8000000,,WSN,1,6000000,6000000
3473,Anthony Rizzo,1B,L,L,NYY,35,12.168,-0.248330012,0.339977324,1,8000000,8000000,,,,,
15679,Rowdy Tellez,1B,L,L,PIT,30,6.004,-0.465908766,0.388049811,,0,,,,,,
17982,Ty France,1B,R,R,CIN,30,5.089,-0.891324639,0.437336057,,0,,,,,,
15676,José Abreu,1B,R,R,HOU,38,10.054,-1.509443521,-0.061716475,,0,,,,,,
12164,Miguel Sanó,1B/3B/DH,R,R,LAA,32,8.002,-0.089004971,0.075773984,,0,,,,,,
5235,Justin Turner,1B/DH,R,R,SEA,40,14.045,1.178726912,0.639216185,1,8000000,8000000,,,,,
8090,Matt Carpenter,1B/DH,L,R,STL,39,12.145,-0.213405833,-0.176912129,,0,,,,,,
15279,Garrett Cooper,1B/DH,R,R,BOS,34,6.131,-0.370473683,-0.0060261,,0,,,ATL,1,0,
16572,Connor Joe,1B/RF/LF,R,R,PIT,32,3.136,0.491179049,0.260527581,,0,,,,,,
15194,Jake Bauers,1B/RF/LF,L,L,MIL,29,4.084,0.049149796,-0.028937105,,0,,,MIL,1,0,
14128,Joey Gallo,1B/RF/LF,L,R,WSN,31,8.103,-0.158738658,-0.063249372,,0,,,,,,
19901,Gavin Sheets,1B/RF/LF,L,L,CHW,29,3.076,-0.89367342,0.05061277,,0,,,,,,
16997,Gleyber Torres,2B,R,R,NYY,28,6.162,1.726545572,2.986870289,3,54000000,18000000,,DET,1,15000000,15000000
17907,Brendan Rodgers,2B,R,R,COL,28,5.075,0.777457297,0.997369945,,0,,,,,,
16426,Thairo Estrada,2B,R,R,SFG,29,4.153,0.377072662,1.340122819,1,6000000,6000000,,COL,1,4000000,4000000
11615,Brandon Drury,2B/1B/3B,R,R,LAA,32,8.001,-2.088920355,0.250858098,,0,,,,,,
13152,Jorge Polanco,2B/3B,S,R,SEA,31,8.024,0.271179497,1.402861595,,0,,,,,,
20521,Nick Madrigal,2B/3B,R,R,CHC,28,4.087,-0.684635699,0.220206738,,0,,,,,,
11281,Whit Merrifield,2B/3B/LF,R,R,ATL,36,8.101,0.442642063,0.534494758,,0,,,,,,
19252,Cavan Biggio,2B/3B/LF/RF,L,R,ATL,30,5.11,0.148431405,0.036888301,,0,,,KCR,1,0,
16451,Luis Guillorme,2B/3B/SS,L,R,ARI,30,5.159,0.116975464,0.406206548,,0,,,,,,
13853,Joey Wendle,2B/3B/SS,L,R,ATL,35,6.148,-0.235620663,0.046576433,,0,,,,,,
19262,Garrett Hampson,2B/3B/SS/OF,R,R,KCR,30,6.01,0.483204246,0.145650402,,0,,,,,,
15518,Amed Rosario,2B/3B/SS/RF,R,R,CIN,29,7.062,0.269149959,0.569050193,,0,,,WSN,1,2000000,2000000
15223,Adam Frazier,2B/RF/LF,L,R,KCR,33,8.075,-0.583805144,0.231329337,,0,,,,,,
